# Pixel positions of the trace in the spatial direction, Width of the trace
5.433880172203322445e+02,3.456978168189714928e+00
5.433835622798610530e+02,3.456978168189714928e+00
5.433791072053148810e+02,3.456978168189714928e+00
5.433746520000368037e+02,3.456978168189714928e+00
5.433701966673695551e+02,3.456978168189714928e+00
5.433657412106560969e+02,3.456978168189714928e+00
5.433612856332395040e+02,3.456978168189714928e+00
5.433568299384627380e+02,3.456978168189714928e+00
5.433523741296685330e+02,3.456978168189714928e+00
5.433479182101999641e+02,3.456978168189714928e+00
5.433434621833999927e+02,3.456978168189714928e+00
5.433390060526114667e+02,3.456978168189714928e+00
5.433345498211773474e+02,3.456978168189714928e+00
5.433300934924407102e+02,3.456978168189714928e+00
5.433256370697444027e+02,3.456978168189714928e+00
5.433211805564312726e+02,3.456978168189714928e+00
5.433167239558443953e+02,3.456978168189714928e+00
5.433122672713266184e+02,3.456978168189714928e+00
5.433078105062210170e+02,3.456978168189714928e+00
5.433033536638704390e+02,3.456978168189714928e+00
5.432988967476177322e+02,3.456978168189714928e+00
5.432944397608059717e+02,3.456978168189714928e+00
5.432899827067781189e+02,3.456978168189714928e+00
5.432855255888770216e+02,3.456978168189714928e+00
5.432810684104456413e+02,3.456978168189714928e+00
5.432766111748269395e+02,3.456978168189714928e+00
5.432721538853637639e+02,3.456978168189714928e+00
5.432676965453993034e+02,3.456978168189714928e+00
5.432632391582761784e+02,3.456978168189714928e+00
5.432587817273375776e+02,3.456978168189714928e+00
5.432543242559263490e+02,3.456978168189714928e+00
5.432498667473854539e+02,3.456978168189714928e+00
5.432454092050578538e+02,3.456978168189714928e+00
5.432409516322863965e+02,3.456978168189714928e+00
5.432364940324140434e+02,3.456978168189714928e+00
5.432320364087837561e+02,3.456978168189714928e+00
5.432275787647386096e+02,3.456978168189714928e+00
5.432231211036213381e+02,3.456978168189714928e+00
5.432186634287750167e+02,3.456978168189714928e+00
5.432142057435424931e+02,3.456978168189714928e+00
5.432097480512667289e+02,3.456978168189714928e+00
5.432052903552907992e+02,3.456978168189714928e+00
5.432008326589574381e+02,3.456978168189714928e+00
5.431963749656097207e+02,3.456978168189714928e+00
5.431919172785904948e+02,3.456978168189714928e+00
